Player,PlayerID,OldPP,WeightedUP,AverageDelta,AverageFactor
judah1224,16756305,15734.728278478595,16067.561585650847,5.682578790987683,0.06702059141085148
Fametime,11405263,16118.067115749116,16062.097377161357,-0.14854221690714667,0.02749279229118946
nemroz,11307733,16168.87673088948,16061.37139730006,-8.12325060211616,0.3104930460853359
AllyrD,9561644,15691.349584700427,16055.764787317841,21.118490497007183,-0.051580129911119973
Kotsik,9820878,16226.106352402943,16047.830701071556,-8.210762072049194,0.2416073641297396
NYASH,12976255,16437.423627107884,16040.60682686624,-11.042068233539743,0.2783155073935844
Homutan,8655635,16020.22209222276,16037.822438100056,-4.335967859698399,0.21853139768054372
XxJoeSwag727xX,15493529,14998.112043674138,16028.582502115054,18.196656613340174,0.1511749390840305
lPogonyuto,6800152,15317.461949772773,16018.949957008834,15.2174541882591,0.13582773396036152
Oscar con boina,18284065,16081.827759826181,16000.999250498713,-2.9357051239814758,0.21509348147378218
BTMC,3171691,16153.455605593328,15990.1984524017,-3.942274532716713,0.1451581654194213
EXTERNALIZATION,12958376,16233.450561786125,15984.49555758792,-11.936367194734462,0.31162163103119617
Xyhara,33389301,16211.64785042809,15975.706262107562,-7.476527216947806,0.25041903546439187
Karthy,4196808,15587.26405245435,15949.130153576389,15.934100858299253,-0.04527254144198576
Tonnisdk,10890712,15988.28712261646,15947.698454356441,4.840947413855063,0.15101417176398896
Nailer,14277157,15914.678262427315,15942.755377554291,1.8172198436155793,0.11131082412894315
pomidor0033,11878480,15670.679180109726,15932.38919490297,12.421343938488612,-0.1069546903100262
Alumetri,5371497,15038.330506198485,15930.06059348578,21.14557408930034,-0.09081135978368853
ozbert,23179637,15481.344811777088,15929.77875302618,9.950255480907652,0.13807208263847198
pluk,12111972,15877.915718527087,15929.499540859639,0.6444119254642192,0.02688195056111881
sarboggly,13304804,16328.953150152269,15922.28006387482,-7.58010300353209,0.1825265617399195
A21,11198996,15796.124485040771,15921.625746861337,14.395518595595878,-0.07932450412936654
zonelouise,1492995,16087.936075527032,15911.811349581178,-5.823920264005043,0.12534052660765882
maxbireo,4682646,16138.770589711115,15907.93664315747,-6.743311505326364,0.14198309026957098
8581210,8581210,16203.997629151401,15906.235848676406,-12.533806460438418,0.34487884715876305
Mlaw,3126596,15736.750055242614,15884.982531735082,2.0366709601112905,0.056811858975275235
Zentoro,12118967,15618.020683835122,15877.471377637385,8.308822892642322,0.07706533725001144
Pabloniichan,17117482,16680.148979130663,15862.488293615152,-16.47416625504912,0.36641931799358346
fuzzyu,21958501,15345.168389911254,15850.209689016487,2.124982318198215,0.22822936234007143
Tepi,9480554,16524.212969329645,15849.268298382576,-7.045242270467436,0.35249432799162606
makux,13733307,15313.389909600708,15848.861844184292,22.207015995857752,8.818055280087612e-06
CosmoXR,18414466,15599.657673419446,15842.747022447926,3.891020794624385,0.04152449705503797
Phoenix98,16864309,16414.44592816731,15834.562818429715,-10.807424224538147,0.32979071836724627
Kelathis,10240089,15843.722675061477,15816.629467203022,-0.4164302867282572,0.1684155353192909
resha,16866418,15456.526475144303,15810.307209617125,-1.1161548658483593,0.2980900185149723
HaSappy,11518376,16077.608279932716,15809.838623350477,11.597234060184979,0.14053629986799313
calebshucks,7959945,15695.04486500632,15799.868435522256,1.6419556501054422,0.3081682079502195
WhatSkill,7371294,15227.469753187783,15795.100999271363,19.734594010245406,0.027882773312797485
Sp1cyy,22710559,14806.188130536257,15780.865480520124,27.523137720453178,-0.05526004585306172
Xaver,7410343,16166.1771248315,15762.527191443594,-15.912233917288942,0.2996113065441408
My Angle Okayu,15908405,15195.804564475144,15759.678084891731,8.83065567831035,0.18260236460059137
Cheyne,7818990,16150.418937660517,15752.764630486352,-19.329766514640554,0.36952650522711106
eloj,12389546,15820.490175229965,15752.124077147362,0.6152484900564628,0.17953266863895462
NathanRam1918,4734703,15277.517026879163,15748.408140117657,7.891372839002104,0.1638451999648417
fallenbtw,19827029,15201.893050984816,15739.318761831784,12.223857954162513,0.05911482075638559
